unixtime,potencia_III,v_l1_l2,v_l2_l3,v_l3_l1
Wed Sep 25 01:04:55 2019,108658.72413793103,13476.91034482759,13319.917241379308,13379.296551724141
Wed Sep 25 01:05:56 2019,107987.24137931035,13473.47586206896,13317.475862068964,13374.579310344827
Wed Sep 25 01:06:55 2019,107596.39285714286,13453.285714285716,13298.1,13356.042857142858
Wed Sep 25 01:07:55 2019,107103.3448275862,13423.531034482756,13257.310344827582,13325.048275862067
Wed Sep 25 01:08:56 2019,105544.27586206897,13406.234482758618,13241.296551724135,13306.427586206897
Wed Sep 25 01:09:55 2019,105595.14285714286,13419.128571428571,13253.228571428574,13320.042857142855
Wed Sep 25 01:10:55 2019,105397.06896551725,13412.524137931036,13248.786206896551,13312.965517241377
Wed Sep 25 01:11:56 2019,104112.20689655172,13405.365517241378,13241.627586206892,13307.503448275864
Wed Sep 25 01:12:55 2019,104796.42857142857,13386.300000000001,13228.414285714282,13287.471428571425
Wed Sep 25 01:13:55 2019,106202.06896551725,13371.26896551724,13215.972413793104,13269.682758620691
Wed Sep 25 01:14:56 2019,104221.8275862069,13368.413793103446,13212.16551724138,13274.234482758618
Wed Sep 25 01:15:55 2019,105222.39285714286,13361.48571428571,13204.757142857143,13265.142857142857
Wed Sep 25 01:16:56 2019,107257.31034482758,13357.241379310344,13195.53103448276,13256.689655172411
Wed Sep 25 01:17:54 2019,107944.25,13360.628571428571,13196.399999999998,13256.785714285714
Wed Sep 25 01:18:55 2019,108645.10344827586,13364.48275862069,13202.317241379309,13260.041379310343
Wed Sep 25 01:19:56 2019,107826.3448275862,13375.61379310345,13218.537931034485,13276.841379310343
Wed Sep 25 01:20:54 2019,107425.96428571429,13381.842857142863,13223.314285714287,13282.371428571427
Wed Sep 25 01:21:55 2019,106123.3448275862,13391.172413793103,13238.358620689654,13298.689655172413
Wed Sep 25 01:22:56 2019,105304.37931034483,13399.36551724138,13243.737931034484,13306.965517241377
Wed Sep 25 01:23:54 2019,105286.21428571429,13384.757142857143,13231.071428571431,13292.442857142856
Wed Sep 25 01:24:55 2019,105249.68965517242,13388.482758620692,13231.28275862069,13295.627586206894
Wed Sep 25 01:25:56 2019,105283.79310344828,13388.068965517241,13238.772413793105,13297.820689655175
Wed Sep 25 01:26:55 2019,106730.28571428571,13388.442857142858,13238.057142857142,13293.642857142855
Wed Sep 25 01:27:56 2019,106966.20689655172,13392.66206896552,13239.931034482763,13296.413793103451
Wed Sep 25 01:28:54 2019,105800.67857142857,13383.342857142861,13230.428571428574,13287.557142857144
Wed Sep 25 01:29:55 2019,106308.27586206897,13370.648275862068,13218.579310344825,13271.751724137926
Wed Sep 25 01:30:56 2019,105544.62068965517,13375.944827586207,13220.400000000003,13274.15172413793
Wed Sep 25 01:31:55 2019,105726.21428571429,13385.05714285714,13232.742857142857,13288.285714285716
Wed Sep 25 01:32:56 2019,106366.62068965517,13383.931034482757,13234.924137931033,13292.565517241379
Wed Sep 25 01:33:55 2019,106538.75,13380.857142857141,13227.771428571428,13285.628571428573
Wed Sep 25 01:34:56 2019,107168.68965517242,13391.089655172416,13236.993103448278,13295.172413793103
Wed Sep 25 01:35:54 2019,106584.85714285714,13381.5,13232.014285714287,13289.485714285716
Wed Sep 25 01:36:55 2019,106476.13793103448,13378.634482758622,13228.593103448275,13285.69655172414
Wed Sep 25 01:37:54 2019,108873.67857142857,13383.0,13230.128571428571,13285.242857142857
Wed Sep 25 01:38:55 2019,109673.0,13386.124137931032,13232.027586206897,13288.758620689658
Wed Sep 25 01:39:56 2019,109199.89655172414,13397.04827586207,13244.151724137933,13295.586206896549
Wed Sep 25 01:40:55 2019,107308.85714285714,13390.971428571427,13237.157142857139,13293.128571428571
Wed Sep 25 01:41:56 2019,108151.58620689655,13389.76551724138,13233.724137931036,13285.531034482756
Wed Sep 25 01:42:55 2019,107440.07142857143,13395.042857142855,13240.45714285714,13291.285714285714
Wed Sep 25 01:43:56 2019,107082.75862068965,13392.041379310345,13234.758620689656,13286.979310344828
Wed Sep 25 01:44:54 2019,105481.10714285714,13395.642857142855,13236.9,13287.471428571429
Wed Sep 25 01:45:55 2019,105379.86206896552,13390.717241379305,13234.717241379309,13286.48275862069
Wed Sep 25 01:46:56 2019,106120.10344827586,13383.72413793103,13230.0,13281.14482758621
Wed Sep 25 01:47:55 2019,105406.82142857143,13382.657142857144,13227.128571428571,13278.042857142864
Wed Sep 25 01:48:56 2019,107531.27586206897,13382.979310344828,13231.406896551722,13276.386206896552
Wed Sep 25 01:49:55 2019,107716.67857142857,13387.24285714286,13237.628571428573,13286.57142857143
Wed Sep 25 01:50:56 2019,107805.41379310345,13397.462068965517,13249.2,13299.227586206898
Wed Sep 25 01:51:54 2019,108082.53571428571,13391.785714285716,13242.428571428574,13295.528571428571
Wed Sep 25 01:52:55 2019,108463.4827586207,13401.475862068966,13251.10344827586,13303.903448275862
Wed Sep 25 01:53:54 2019,107542.92857142857,13402.757142857143,13249.285714285712,13300.757142857143
Wed Sep 25 01:54:55 2019,106740.13793103448,13404.95172413793,13252.303448275861,13299.76551724138
Wed Sep 25 01:55:56 2019,107127.24137931035,13409.048275862067,13262.068965517241,13313.66896551724
Wed Sep 25 01:56:55 2019,106854.71428571429,13405.285714285714,13256.357142857143,13311.899999999998
Wed Sep 25 01:57:55 2019,107637.72413793103,13408.05517241379,13258.593103448276,13315.158620689652
Wed Sep 25 01:58:54 2019,108345.14285714286,13412.614285714284,13265.014285714284,13318.542857142858
Wed Sep 25 01:59:55 2019,109556.41379310345,13418.31724137931,13270.013793103448,13323.765517241378
Wed Sep 25 02:00:56 2019,108083.27586206897,13418.565517241375,13268.937931034481,13322.234482758622
Wed Sep 25 02:01:55 2019,106900.67857142857,13414.542857142855,13265.742857142859,13320.171428571426
Wed Sep 25 02:02:56 2019,105770.4827586207,13400.689655172411,13250.48275862069,13304.979310344826
Wed Sep 25 02:03:55 2019,106286.71428571429,13396.414285714289,13250.357142857141,13302.985714285716
Wed Sep 25 02:04:55 2019,107969.8275862069,13385.50344827586,13243.36551724138,13295.006896551722
Wed Sep 25 02:05:54 2019,107986.60714285714,13389.0,13247.785714285714,13298.314285714287
