unixtime,potencia_III,v_l1_l2,v_l2_l3,v_l3_l1
Wed Sep 25 04:39:55 2019,109104.1724137931,13459.406896551724,13323.724137931036,13372.924137931032
Wed Sep 25 04:40:54 2019,107560.78571428571,13466.4,13327.499999999998,13377.085714285717
Wed Sep 25 04:41:55 2019,108381.13793103448,13463.089655172413,13322.689655172417,13372.593103448276
Wed Sep 25 04:42:56 2019,107911.75862068965,13455.144827586208,13318.220689655172,13366.882758620693
Wed Sep 25 04:43:55 2019,108266.92857142857,13450.585714285713,13311.600000000004,13361.057142857142
Wed Sep 25 04:44:56 2019,107829.68965517242,13454.234482758624,13311.393103448274,13360.717241379312
Wed Sep 25 04:45:55 2019,107223.71428571429,13453.971428571427,13312.328571428572,13362.514285714284
Wed Sep 25 04:46:56 2019,107315.89655172414,13469.83448275862,13328.31724137931,13371.641379310344
Wed Sep 25 04:47:55 2019,108487.07142857143,13484.657142857139,13344.814285714287,13385.699999999999
Wed Sep 25 04:48:56 2019,109035.58620689655,13462.675862068963,13316.400000000003,13377.972413793104
Wed Sep 25 04:49:54 2019,107038.85714285714,13457.57142857143,13312.32857142857,13373.142857142855
Wed Sep 25 04:50:55 2019,107151.13793103448,13457.751724137928,13313.503448275864,13375.44827586207
Wed Sep 25 04:51:56 2019,108124.20689655172,13456.84137931035,13323.144827586211,13368.124137931034
Wed Sep 25 04:52:55 2019,108760.03571428571,13452.42857142857,13316.44285714286,13360.114285714286
Wed Sep 25 04:53:56 2019,106863.24137931035,13447.075862068967,13309.572413793105,13355.213793103452
Wed Sep 25 04:54:55 2019,108313.0,13448.099999999995,13310.485714285713,13356.385714285712
Wed Sep 25 04:55:56 2019,106918.13793103448,13446.620689655172,13308.16551724138,13350.165517241383
Wed Sep 25 04:56:54 2019,104995.10714285714,13455.342857142858,13314.257142857143,13356.514285714287
Wed Sep 25 04:57:55 2019,106291.0,13460.731034482758,13323.806896551723,13371.889655172414
Wed Sep 25 04:58:56 2019,107144.20689655172,13460.855172413792,13320.910344827587,13369.365517241378
Wed Sep 25 04:59:55 2019,107464.96428571429,13464.557142857142,13320.085714285717,13373.400000000003
Wed Sep 25 05:00:56 2019,108004.44827586207,13463.710344827585,13323.806896551725,13370.979310344828
Wed Sep 25 05:01:55 2019,106734.0,13458.728571428572,13322.785714285716,13368.471428571427
Wed Sep 25 05:02:56 2019,107500.79310344828,13452.331034482759,13318.137931034487,13363.903448275858
Wed Sep 25 05:03:54 2019,105953.28571428571,13456.07142857143,13315.457142857142,13365.514285714282
Wed Sep 25 05:04:55 2019,107925.62068965517,13458.70344827586,13319.213793103447,13366.882758620688
Wed Sep 25 05:05:54 2019,107645.75,13467.428571428569,13330.285714285714,13380.900000000003
Wed Sep 25 05:06:55 2019,108761.6551724138,13473.6,13334.358620689656,13382.110344827586
Wed Sep 25 05:07:56 2019,109364.72413793103,13468.38620689655,13329.806896551723,13375.241379310344
Wed Sep 25 05:08:55 2019,109963.0,13473.471428571429,13332.257142857141,13377.814285714287
Wed Sep 25 05:09:56 2019,109587.10344827586,13473.434482758621,13330.593103448273,13374.000000000002
Wed Sep 25 05:10:55 2019,109395.57142857143,13469.4,13324.199999999999,13366.628571428571
Wed Sep 25 05:11:56 2019,108970.4827586207,13464.827586206897,13323.268965517245,13364.275862068967
Wed Sep 25 05:12:54 2019,109143.25,13461.642857142857,13316.914285714289,13356.385714285716
Wed Sep 25 05:13:55 2019,107449.1724137931,13447.406896551725,13299.599999999999,13341.641379310347
Wed Sep 25 05:14:54 2019,108625.5,13437.642857142853,13289.657142857142,13331.528571428573
Wed Sep 25 05:15:55 2019,108610.75862068965,13446.537931034483,13303.862068965518,13343.751724137928
Wed Sep 25 05:16:56 2019,106616.79310344828,13440.703448275863,13294.344827586203,13337.37931034483
Wed Sep 25 05:17:55 2019,106552.96428571429,13434.72857142857,13291.628571428571,13337.142857142859
Wed Sep 25 05:18:56 2019,107096.44827586207,13427.42068965517,13286.193103448277,13330.096551724138
Wed Sep 25 05:19:54 2019,108629.03571428571,13420.757142857143,13278.557142857142,13324.242857142855
Wed Sep 25 05:20:55 2019,107106.68965517242,13425.682758620687,13279.24137931034,13324.55172413793
Wed Sep 25 05:21:56 2019,106264.0,13412.689655172413,13266.57931034483,13315.696551724137
Wed Sep 25 05:22:55 2019,105708.28571428571,13419.385714285714,13266.514285714282,13319.485714285716
Wed Sep 25 05:23:56 2019,105581.72413793103,13411.03448275862,13261.075862068961,13308.124137931032
Wed Sep 25 05:24:55 2019,103980.32142857143,13407.514285714291,13256.785714285716,13308.6
Wed Sep 25 05:25:55 2019,105413.96551724138,13412.400000000001,13257.393103448274,13308.496551724134
Wed Sep 25 05:26:54 2019,105978.07142857143,13418.657142857144,13265.914285714289,13314.814285714285
Wed Sep 25 05:27:55 2019,106928.41379310345,13423.406896551725,13268.689655172413,13317.310344827589
Wed Sep 25 05:28:54 2019,108242.07142857143,13427.057142857138,13275.857142857147,13323.985714285713
Wed Sep 25 05:29:55 2019,110841.27586206897,13440.620689655172,13290.53793103448,13341.351724137932
Wed Sep 25 05:30:56 2019,110724.79310344828,13439.66896551724,13289.958620689655,13340.689655172413
Wed Sep 25 05:31:55 2019,110892.82142857143,13431.128571428571,13281.814285714283,13328.699999999997
Wed Sep 25 05:32:56 2019,110241.68965517242,13430.193103448275,13281.020689655172,13327.158620689657
Wed Sep 25 05:33:54 2019,107752.5,13416.000000000002,13266.942857142858,13317.68571428571
Wed Sep 25 05:34:55 2019,107069.0,13392.3724137931,13248.0,13303.158620689659
Wed Sep 25 05:35:56 2019,106205.68965517242,13380.000000000002,13236.206896551725,13291.489655172412
Wed Sep 25 05:36:55 2019,105896.53571428571,13384.457142857147,13238.700000000003,13296.47142857143
Wed Sep 25 05:37:55 2019,104646.62068965517,13385.91724137931,13238.11034482759,13298.193103448275
Wed Sep 25 05:38:56 2019,104454.6551724138,13388.441379310345,13242.744827586208,13300.303448275861
Wed Sep 25 05:39:55 2019,106276.21428571429,13391.82857142857,13245.042857142858,13301.314285714285
Wed Sep 25 05:40:56 2019,105455.31034482758,13393.282758620688,13245.268965517242,13304.896551724138
Wed Sep 25 05:41:54 2019,106187.25,13393.500000000002,13249.028571428573,13305.942857142856
Wed Sep 25 05:42:55 2019,106075.3448275862,13393.448275862067,13249.36551724138,13306.427586206899
Wed Sep 25 05:43:56 2019,106507.13793103448,13382.23448275862,13236.16551724138,13295.627586206894
Wed Sep 25 05:44:54 2019,106297.57142857143,13388.357142857141,13240.92857142857,13301.314285714287
Wed Sep 25 05:45:55 2019,105390.13793103448,13382.275862068966,13232.896551724138,13291.90344827586
Wed Sep 25 05:46:56 2019,105431.1724137931,13375.324137931035,13223.131034482756,13291.696551724137
Wed Sep 25 05:47:55 2019,106130.60714285714,13381.8,13226.014285714284,13298.571428571431
Wed Sep 25 05:48:55 2019,107120.27586206897,13385.46206896552,13225.862068965522,13300.593103448278
Wed Sep 25 05:49:56 2019,106815.24137931035,13378.634482758624,13222.303448275863,13291.944827586207
Wed Sep 25 05:50:55 2019,109235.75,13378.885714285714,13221.385714285718,13284.77142857143
Wed Sep 25 05:51:56 2019,107284.79310344828,13368.455172413796,13216.386206896552,13277.875862068962
Wed Sep 25 05:52:54 2019,103554.46428571429,13363.414285714287,13215.214285714286,13275.17142857143
Wed Sep 25 05:53:55 2019,104711.72413793103,13367.04827586207,13218.413793103447,13277.710344827587
Wed Sep 25 05:54:56 2019,105832.10344827586,13367.75172413793,13218.537931034482,13278.662068965517
Wed Sep 25 05:55:55 2019,105938.92857142857,13367.699999999999,13221.085714285715,13277.014285714287
Wed Sep 25 05:56:56 2019,103481.8275862069,13366.758620689654,13218.496551724138,13277.172413793105
Wed Sep 25 05:57:54 2019,104438.14285714286,13360.757142857143,13215.42857142857,13271.957142857142
Wed Sep 25 05:58:55 2019,103814.03448275862,13353.475862068966,13207.365517241378,13264.055172413793
Wed Sep 25 05:59:54 2019,105403.28571428571,13344.557142857142,13199.014285714284,13254.17142857143
Wed Sep 25 06:00:55 2019,105160.55172413793,13342.634482758622,13193.999999999996,13252.344827586208
Wed Sep 25 06:01:56 2019,106099.3448275862,13354.344827586207,13202.606896551726,13262.979310344828
Wed Sep 25 06:02:55 2019,105928.42857142857,13354.885714285714,13204.071428571426,13265.057142857144
Wed Sep 25 06:03:56 2019,105767.20689655172,13369.779310344828,13217.503448275864,13276.965517241384
Wed Sep 25 06:04:54 2019,105818.46428571429,13379.014285714284,13224.557142857144,13280.657142857142
Wed Sep 25 06:05:55 2019,106168.06896551725,13376.027586206896,13222.13793103448,13277.999999999998
Wed Sep 25 06:06:54 2019,107862.53571428571,13363.628571428568,13211.185714285713,13270.67142857143
Wed Sep 25 06:07:55 2019,108812.8275862069,13359.972413793104,13211.296551724135,13270.675862068963
Wed Sep 25 06:08:56 2019,108895.31034482758,13362.124137931034,13209.186206896553,13269.434482758621
Wed Sep 25 06:09:55 2019,109153.96428571429,13346.528571428573,13192.32857142857,13253.442857142856
Wed Sep 25 06:10:56 2019,109230.68965517242,13320.331034482755,13166.193103448275,13228.344827586203
Wed Sep 25 06:11:54 2019,111017.21428571429,13316.528571428571,13160.957142857145,13223.314285714287
Wed Sep 25 06:12:55 2019,110937.20689655172,13314.12413793104,13156.262068965514,13222.344827586205
Wed Sep 25 06:13:54 2019,111599.03571428571,13306.671428571428,13148.785714285716,13213.92857142857
Wed Sep 25 06:14:55 2019,112681.03448275862,13312.841379310343,13158.206896551726,13222.468965517239
Wed Sep 25 06:15:56 2019,113020.31034482758,13404.579310344827,13245.765517241378,13306.386206896552
Wed Sep 25 06:16:55 2019,115896.35714285714,13488.685714285713,13325.57142857143,13387.971428571427
Wed Sep 25 06:17:56 2019,114387.44827586207,13470.16551724138,13306.262068965518,13373.255172413796
Wed Sep 25 06:18:54 2019,115719.10714285714,13470.900000000005,13305.342857142861,13370.614285714282
Wed Sep 25 06:19:55 2019,115898.24137931035,13464.579310344829,13301.462068965517,13364.979310344828
Wed Sep 25 06:20:54 2019,113738.71428571429,13472.22857142857,13303.32857142857,13366.842857142858
Wed Sep 25 06:21:55 2019,113362.86206896552,13467.765517241378,13298.689655172413,13362.496551724138
Wed Sep 25 06:22:56 2019,115264.3448275862,13467.434482758617,13298.97931034483,13365.18620689655
Wed Sep 25 06:23:55 2019,115147.67857142857,13440.814285714285,13279.02857142857,13340.957142857147
Wed Sep 25 06:24:56 2019,113691.62068965517,13439.586206896549,13274.48275862069,13341.062068965517
Wed Sep 25 06:25:54 2019,113671.14285714286,13427.82857142857,13263.42857142857,13326.557142857142
Wed Sep 25 06:26:55 2019,114897.8275862069,13429.324137931035,13266.786206896553,13329.475862068964
Wed Sep 25 06:27:56 2019,115274.89655172414,13437.393103448278,13273.117241379312,13336.84137931035
Wed Sep 25 06:28:55 2019,111918.39285714286,13428.857142857143,13264.54285714286,13326.6
Wed Sep 25 06:29:56 2019,110625.20689655172,13492.551724137933,13329.806896551721,13393.117241379308
Wed Sep 25 06:30:55 2019,111134.14285714286,13546.542857142855,13388.871428571425,13450.757142857141
Wed Sep 25 06:31:55 2019,111029.62068965517,13527.062068965519,13372.924137931033,13434.70344827586
Wed Sep 25 06:32:54 2019,109572.89285714286,13446.214285714288,13290.3,13355.614285714288
Wed Sep 25 06:33:55 2019,108162.03448275862,13431.475862068964,13276.055172413793,13338.579310344829
Wed Sep 25 06:34:56 2019,108062.44827586207,13420.096551724138,13263.227586206896,13331.00689655172
Wed Sep 25 06:35:54 2019,104402.39285714286,13420.157142857146,13264.02857142857,13328.357142857141
Wed Sep 25 06:36:55 2019,104656.86206896552,13427.462068965517,13275.351724137929,13339.117241379308
Wed Sep 25 06:37:56 2019,103824.31034482758,13451.379310344828,13302.579310344829,13364.027586206896
Wed Sep 25 06:38:54 2019,101670.07142857143,13464.214285714286,13315.2,13379.828571428572
Wed Sep 25 06:39:55 2019,103587.86206896552,13462.055172413797,13311.434482758617,13377.724137931033
Wed Sep 25 06:40:56 2019,102107.96551724138,13443.227586206895,13294.675862068967,13359.475862068963
Wed Sep 25 06:41:55 2019,104388.25,13458.471428571425,13311.471428571429,13374.0
Wed Sep 25 06:42:56 2019,105746.37931034483,13467.020689655174,13316.358620689656,13378.427586206897
Wed Sep 25 06:43:54 2019,107908.42857142857,13459.671428571428,13312.842857142861,13379.7
Wed Sep 25 06:44:55 2019,108620.79310344828,13477.406896551722,13323.765517241382,13390.01379310345
Wed Sep 25 06:45:56 2019,109638.79310344828,13479.889655172416,13330.17931034483,13389.39310344828
Wed Sep 25 06:46:55 2019,109373.89285714286,13456.585714285715,13311.557142857142,13373.228571428572
Wed Sep 25 06:47:56 2019,107072.13793103448,13464.496551724136,13317.682758620685,13379.172413793101
Wed Sep 25 06:48:54 2019,105931.78571428571,13484.871428571427,13337.785714285716,13392.42857142857
Wed Sep 25 06:49:55 2019,103461.1724137931,13463.75172413793,13319.006896551724,13376.937931034483
Wed Sep 25 06:50:56 2019,103509.13793103448,13449.310344827583,13304.565517241383,13364.027586206897
Wed Sep 25 06:51:55 2019,101687.75,13454.699999999999,13306.585714285715,13363.499999999998
Wed Sep 25 06:52:55 2019,100833.41379310345,13473.186206896555,13321.282758620688,13378.055172413795
Wed Sep 25 06:53:56 2019,101337.03448275862,13466.275862068966,13317.724137931038,13377.724137931038
Wed Sep 25 06:54:55 2019,103050.53571428571,13470.257142857141,13322.485714285716,13381.199999999997
Wed Sep 25 06:55:56 2019,103248.68965517242,13481.793103448277,13334.358620689653,13391.462068965517
Wed Sep 25 06:56:54 2019,102553.5,13475.185714285717,13328.185714285715,13384.371428571429
Wed Sep 25 06:57:55 2019,102488.1724137931,13463.793103448277,13319.462068965515,13373.668965517241
Wed Sep 25 06:58:56 2019,102176.06896551725,13455.641379310346,13309.53103448276,13364.15172413793
Wed Sep 25 06:59:55 2019,102248.5,13437.900000000005,13295.05714285714,13355.657142857139
Wed Sep 25 07:00:55 2019,99589.75862068965,13428.744827586206,13281.062068965519,13342.551724137931
Wed Sep 25 07:01:56 2019,100500.96551724138,13432.882758620692,13287.393103448274,13346.110344827586
Wed Sep 25 07:02:55 2019,101805.10714285714,13427.528571428571,13284.985714285718,13340.657142857144
Wed Sep 25 07:03:56 2019,103930.79310344828,13426.965517241379,13285.117241379314,13337.751724137932
Wed Sep 25 07:04:54 2019,105247.14285714286,13432.24285714286,13288.328571428572,13341.685714285715
Wed Sep 25 07:05:55 2019,104965.41379310345,13430.813793103445,13283.379310344828,13338.744827586208
Wed Sep 25 07:06:56 2019,105057.93103448275,13427.544827586207,13279.737931034484,13333.862068965518
Wed Sep 25 07:07:55 2019,104502.17857142857,13406.142857142857,13260.771428571428,13314.128571428571
Wed Sep 25 07:08:55 2019,104458.24137931035,13414.30344827586,13265.213793103447,13319.172413793105
Wed Sep 25 07:09:54 2019,105420.75,13414.371428571427,13263.771428571426,13317.814285714285
Wed Sep 25 07:10:55 2019,106006.75862068965,13406.110344827584,13257.682758620691,13304.855172413789
Wed Sep 25 07:11:56 2019,104272.89655172414,13406.979310344826,13255.65517241379,13307.379310344828
Wed Sep 25 07:12:55 2019,103291.67857142857,13411.8,13257.428571428567,13309.2
Wed Sep 25 07:13:56 2019,102909.44827586207,13404.62068965517,13249.448275862067,13308.041379310347
Wed Sep 25 07:14:54 2019,104221.57142857143,13423.199999999997,13265.785714285712,13319.828571428572
Wed Sep 25 07:15:55 2019,106602.93103448275,13410.124137931034,13259.420689655173,13314.827586206897
Wed Sep 25 07:16:56 2019,106723.13793103448,13402.551724137935,13251.641379310346,13309.36551724138
Wed Sep 25 07:17:55 2019,106219.46428571429,13388.27142857143,13238.185714285715,13298.485714285716
Wed Sep 25 07:18:56 2019,109097.1724137931,13396.71724137931,13244.193103448273,13301.627586206894
Wed Sep 25 07:19:55 2019,107177.53571428571,13386.600000000002,13233.557142857146,13288.499999999998
Wed Sep 25 07:20:55 2019,105383.41379310345,13352.73103448276,13202.731034482757,13257.393103448278
Wed Sep 25 07:21:56 2019,103286.44827586207,13359.6,13211.172413793103,13265.793103448277
Wed Sep 25 07:22:55 2019,103731.92857142857,13357.971428571427,13208.999999999998,13264.5
Wed Sep 25 07:23:56 2019,102782.55172413793,13358.23448275862,13208.524137931036,13264.882758620688
Wed Sep 25 07:24:54 2019,102862.17857142857,13360.628571428573,13214.142857142857,13267.242857142855
Wed Sep 25 07:25:55 2019,104413.62068965517,13351.944827586212,13204.717241379305,13257.641379310342
Wed Sep 25 07:26:56 2019,107294.96551724138,13364.896551724138,13218.455172413791,13270.55172413793
Wed Sep 25 07:27:55 2019,108238.71428571429,13367.142857142859,13207.800000000003,13276.200000000003
Wed Sep 25 07:28:55 2019,108597.06896551725,13361.37931034483,13210.055172413797,13272.993103448278
Wed Sep 25 07:29:54 2019,108795.60714285714,13353.171428571428,13208.314285714283,13261.371428571429
Wed Sep 25 07:30:55 2019,112290.37931034483,13355.668965517245,13209.68275862069,13256.524137931036
Wed Sep 25 07:31:56 2019,182685.37931034484,13354.427586206897,13210.055172413793,13258.303448275861
Wed Sep 25 07:32:55 2019,179309.4642857143,13353.642857142859,13207.11428571429,13256.357142857143
Wed Sep 25 07:33:55 2019,177522.0,13346.23448275862,13200.331034482753,13248.786206896551
Wed Sep 25 07:34:56 2019,177803.06896551725,13348.634482758622,13205.420689655173,13252.551724137931
Wed Sep 25 07:35:55 2019,175867.2142857143,13335.3,13193.27142857143,13241.614285714284
Wed Sep 25 07:36:56 2019,196808.1724137931,13332.91034482759,13189.282758620691,13239.144827586211
Wed Sep 25 07:37:54 2019,212140.75,13338.900000000003,13197.857142857145,13246.414285714285
Wed Sep 25 07:38:55 2019,216340.93103448275,13344.289655172415,13199.751724137932,13249.903448275862
Wed Sep 25 07:39:56 2019,221223.3448275862,13324.965517241377,13180.179310344824,13229.75172413793
Wed Sep 25 07:40:54 2019,225043.4642857143,13328.05714285714,13189.071428571426,13235.614285714288
Wed Sep 25 07:41:55 2019,222809.62068965516,13329.020689655172,13188.000000000002,13237.158620689657
Wed Sep 25 07:42:56 2019,160901.44827586206,13323.889655172416,13187.793103448275,13233.43448275862
Wed Sep 25 07:43:55 2019,169018.42857142858,13324.028571428573,13184.57142857143,13231.714285714284
Wed Sep 25 07:44:56 2019,220606.6551724138,13323.806896551723,13184.4,13235.668965517241
Wed Sep 25 07:45:54 2019,169075.25,13322.914285714287,13182.214285714288,13235.142857142859
Wed Sep 25 07:46:55 2019,162230.8275862069,13331.089655172413,13189.075862068963,13243.117241379308
Wed Sep 25 07:47:56 2019,165112.44827586206,13336.841379310346,13199.172413793103,13249.77931034483
Wed Sep 25 07:48:55 2019,183720.2142857143,13340.357142857141,13203.685714285713,13249.628571428573
Wed Sep 25 07:49:56 2019,215405.72413793104,13353.10344827586,13218.786206896551,13261.158620689657
Wed Sep 25 07:50:54 2019,168826.7142857143,13355.785714285714,13218.51428571429,13261.67142857143
Wed Sep 25 07:51:55 2019,161329.72413793104,13353.351724137932,13214.15172413793,13259.006896551722
Wed Sep 25 07:52:56 2019,160781.75862068965,13334.60689655172,13194.53793103448,13244.110344827586
Wed Sep 25 07:53:55 2019,219848.0357142857,13327.414285714285,13190.185714285715,13240.67142857143
Wed Sep 25 07:54:56 2019,177861.3448275862,13336.46896551724,13195.655172413795,13243.655172413795
Wed Sep 25 07:55:54 2019,155775.17857142858,13343.485714285716,13203.599999999997,13250.828571428572
Wed Sep 25 07:56:55 2019,202817.75862068965,13332.496551724136,13191.227586206895,13238.565517241383
Wed Sep 25 07:57:56 2019,204407.4827586207,13307.089655172416,13168.013793103444,13219.241379310344
Wed Sep 25 07:58:55 2019,166640.7857142857,13321.8,13181.057142857142,13230.857142857143
Wed Sep 25 07:59:56 2019,166568.44827586206,13328.524137931037,13187.793103448275,13236.620689655172
Wed Sep 25 08:00:54 2019,166846.7857142857,13333.028571428571,13193.957142857145,13243.5
Wed Sep 25 08:01:55 2019,161795.6896551724,13322.275862068966,13182.662068965517,13233.475862068966
Wed Sep 25 08:02:56 2019,207333.44827586206,13308.372413793099,13170.579310344825,13219.199999999999
Wed Sep 25 08:03:55 2019,201477.2142857143,13301.52857142857,13167.857142857143,13214.1
Wed Sep 25 08:04:56 2019,159428.3103448276,13306.013793103448,13169.668965517241,13213.448275862069
Wed Sep 25 08:05:54 2019,160505.4642857143,13320.0,13179.128571428568,13222.928571428569
Wed Sep 25 08:06:55 2019,227619.93103448275,13326.910344827584,13190.441379310343,13228.510344827588
Wed Sep 25 08:07:56 2019,173496.1379310345,13323.43448275862,13185.517241379312,13228.220689655176
Wed Sep 25 08:08:55 2019,164937.57142857142,13315.92857142857,13178.700000000003,13216.028571428571
Wed Sep 25 08:09:56 2019,165276.8275862069,13315.696551724137,13185.18620689655,13224.041379310345
Wed Sep 25 08:10:54 2019,164309.57142857142,13315.714285714286,13181.742857142857,13215.257142857141
Wed Sep 25 08:11:55 2019,160202.55172413794,13313.255172413788,13175.668965517241,13210.013793103451
Wed Sep 25 08:12:54 2019,220646.67857142858,13355.099999999997,13214.82857142857,13257.857142857141
Wed Sep 25 08:13:55 2019,192847.58620689655,13471.44827586207,13331.25517241379,13369.324137931031
Wed Sep 25 08:14:56 2019,158856.0344827586,13469.627586206894,13332.455172413793,13370.275862068966
Wed Sep 25 08:15:55 2019,171065.89285714287,13472.357142857143,13329.42857142857,13368.9
Wed Sep 25 08:16:56 2019,221398.1379310345,13470.248275862068,13329.39310344828,13374.74482758621
Wed Sep 25 08:17:55 2019,171981.5,13460.7,13317.042857142853,13360.757142857143
Wed Sep 25 08:18:55 2019,164341.4827586207,13461.806896551725,13319.379310344828,13366.013793103444
Wed Sep 25 08:19:54 2019,165583.4642857143,13461.128571428575,13318.800000000001,13363.842857142858
Wed Sep 25 08:20:55 2019,166428.1724137931,13460.979310344826,13315.613793103445,13361.33793103448
Wed Sep 25 08:21:56 2019,162823.6896551724,13458.910344827587,13316.317241379309,13360.800000000001
Wed Sep 25 08:22:55 2019,223481.7857142857,13447.842857142858,13306.542857142858,13352.44285714286
Wed Sep 25 08:23:55 2019,190527.9655172414,13434.413793103451,13297.2,13340.275862068964
Wed Sep 25 08:24:54 2019,166828.92857142858,13424.142857142857,13286.4,13329.685714285715
Wed Sep 25 08:25:55 2019,200367.89655172414,13415.08965517241,13275.268965517242,13324.137931034486
Wed Sep 25 08:26:56 2019,218249.41379310345,13410.744827586206,13267.862068965514,13318.800000000001
Wed Sep 25 08:27:55 2019,177474.42857142858,13408.242857142857,13265.785714285714,13319.828571428572
Wed Sep 25 08:28:55 2019,174743.37931034484,13409.627586206892,13264.63448275862,13316.896551724138
Wed Sep 25 08:29:54 2019,174671.17857142858,13407.214285714286,13263.042857142858,13313.699999999999
Wed Sep 25 08:30:55 2019,187574.6551724138,13415.793103448275,13273.53103448276,13327.075862068967
Wed Sep 25 08:31:56 2019,233944.7931034483,13409.131034482756,13266.827586206897,13320.24827586207
Wed Sep 25 08:32:54 2019,175544.2142857143,13411.114285714284,13271.22857142857,13322.228571428572
Wed Sep 25 08:33:55 2019,175682.2068965517,13410.24827586207,13272.703448275865,13322.110344827588
Wed Sep 25 08:34:56 2019,233355.6896551724,13407.227586206896,13267.82068965517,13320.951724137933
Wed Sep 25 08:35:54 2019,199752.75,13408.457142857142,13266.514285714284,13320.685714285715
Wed Sep 25 08:36:55 2019,180307.55172413794,13402.34482758621,13263.475862068966,13316.193103448273
Wed Sep 25 08:37:56 2019,180071.10344827586,13390.262068965516,13247.6275862069,13296.827586206899
Wed Sep 25 08:38:55 2019,152602.85714285713,13388.271428571432,13244.742857142859,13298.314285714283
Wed Sep 25 08:39:56 2019,153244.0344827586,13371.2275862069,13227.393103448274,13280.731034482755
Wed Sep 25 08:40:54 2019,154763.92857142858,13371.814285714285,13223.871428571432,13276.842857142858
Wed Sep 25 08:41:55 2019,153418.89655172414,13372.220689655172,13227.84827586207,13277.544827586204
Wed Sep 25 08:42:56 2019,151835.8275862069,13367.83448275862,13225.406896551725,13274.358620689658
Wed Sep 25 08:43:55 2019,153844.7857142857,13370.571428571431,13229.442857142856,13277.785714285716
Wed Sep 25 08:44:56 2019,154306.3448275862,13371.64137931034,13231.117241379308,13282.096551724135
Wed Sep 25 08:45:54 2019,153819.89285714287,13367.957142857142,13227.342857142852,13280.485714285713
Wed Sep 25 08:46:55 2019,154634.8275862069,13372.22068965517,13227.268965517242,13284.331034482759
Wed Sep 25 08:47:56 2019,154456.5172413793,13384.179310344825,13236.49655172414,13296.000000000002
Wed Sep 25 08:48:54 2019,154408.85714285713,13382.057142857142,13234.628571428573,13296.128571428571
Wed Sep 25 08:49:55 2019,153398.3448275862,13375.448275862069,13228.344827586205,13288.717241379305
Wed Sep 25 08:50:56 2019,153823.10344827586,13375.655172413797,13226.275862068967,13284.124137931038
Wed Sep 25 08:51:55 2019,156694.10714285713,13368.814285714285,13222.628571428573,13278.085714285711
Wed Sep 25 08:52:56 2019,154635.0344827586,13365.558620689655,13220.772413793104,13270.593103448275
Wed Sep 25 08:53:54 2019,156683.82142857142,13363.199999999999,13213.885714285716,13267.5
Wed Sep 25 08:54:55 2019,160377.27586206896,13362.289655172417,13213.324137931033,13272.620689655174
Wed Sep 25 08:55:56 2019,161905.5172413793,13352.524137931034,13206.206896551726,13264.800000000003
Wed Sep 25 08:56:55 2019,160732.57142857142,13338.128571428571,13189.8,13246.92857142857
Wed Sep 25 08:57:56 2019,160021.06896551725,13344.49655172414,13194.786206896551,13253.048275862066
Wed Sep 25 08:58:55 2019,158017.92857142858,13339.671428571428,13193.699999999997,13252.67142857143
Wed Sep 25 08:59:55 2019,159109.6896551724,13342.427586206895,13194.620689655172,13248.70344827586
Wed Sep 25 09:00:54 2019,159820.82142857142,13336.5,13188.77142857143,13241.95714285714
Wed Sep 25 09:01:55 2019,157708.1724137931,13312.675862068967,13164.455172413793,13216.551724137935
Wed Sep 25 09:02:56 2019,159596.1724137931,13476.66206896552,13327.034482758621,13383.93103448276
Wed Sep 25 09:03:55 2019,152709.2142857143,13507.028571428571,13356.685714285717,13412.314285714287
Wed Sep 25 09:04:56 2019,152202.41379310345,13501.986206896549,13354.468965517239,13409.379310344828
Wed Sep 25 09:05:55 2019,152560.25,13485.72857142857,13333.371428571427,13388.142857142859
Wed Sep 25 09:06:56 2019,154066.41379310345,13491.806896551725,13336.551724137931,13394.772413793104
Wed Sep 25 09:07:54 2019,154873.75,13495.242857142859,13337.614285714286,13399.714285714286
Wed Sep 25 09:08:55 2019,153408.55172413794,13475.337931034483,13322.151724137933,13380.289655172413
Wed Sep 25 09:09:56 2019,151887.1379310345,13481.503448275866,13329.76551724138,13388.068965517245
Wed Sep 25 09:10:55 2019,151715.7142857143,13482.514285714287,13326.857142857143,13389.128571428571
Wed Sep 25 09:11:56 2019,153877.75862068965,13477.613793103448,13325.337931034483,13385.337931034484
Wed Sep 25 09:12:55 2019,154494.25,13471.92857142857,13314.814285714283,13371.471428571429
Wed Sep 25 09:13:56 2019,157187.6896551724,13477.779310344828,13319.29655172414,13376.937931034481
Wed Sep 25 09:14:55 2019,157300.89285714287,13468.928571428574,13315.971428571429,13372.542857142858
Wed Sep 25 09:15:55 2019,159150.58620689655,13465.820689655173,13311.51724137931,13369.324137931033
Wed Sep 25 09:16:54 2019,154941.14285714287,13470.085714285717,13319.442857142856,13377.342857142858
Wed Sep 25 09:17:55 2019,162611.1724137931,13467.103448275862,13311.641379310347,13369.324137931033
Wed Sep 25 09:18:56 2019,161302.37931034484,13463.131034482756,13303.862068965518,13362.70344827586
Wed Sep 25 09:19:55 2019,159643.07142857142,13455.214285714288,13294.714285714286,13356.728571428572
Wed Sep 25 09:20:56 2019,160589.6896551724,13451.131034482758,13291.903448275865,13352.151724137932
